Datum,Month,TotalRevenue,PageviewsAlexa, pageeCPM,USDeCPM,Adsense,OpenX,OtherAdNetw,Outbr,ADX,MobPV,TotalMobile,MobeCPM,MobAdsense,MobOpenX,MobOtherAd,MobOutB,ADXm,AdSnsDesktop,AdSnsMobile,AdSnsRadio,USDesktop,USDBC,USDMobile,MobileExpo9 ,TotalExpo9,MobileOutbrain,TotalOutbrain,TotalSwitchAds,TotalConv,USDEURO
Fri    01/Jan/16,Jan-16,3071.97,2124000.00,1.45,1.57,905.37,902.35,180.97,683.90,399.38,1480000.00,1215.33,0.82,350.00,217.63,117.99,449.72,80.00,300.00,350.00,,744.35,0.00,236.58,69.00,131.31,449.72,683.90,6.16,0.00,0.92
Sat    02/Jan/16,Jan-16,2993.98,2265000.00,1.32,1.44,890.57,814.53,195.10,701.91,391.87,1445000.00,1222.64,0.85,367.00,196.58,112.74,466.32,80.00,300.00,367.00,212.00,671.76,0.00,213.70,61.00,144.79,466.32,701.91,5.74,0.00,0.92
Sun    03/Jan/16,Jan-16,2658.18,2037000.00,1.30,1.42,777.96,699.68,198.58,647.81,334.15,1294000.00,1091.58,0.84,319.00,175.73,129.35,407.50,60.00,274.00,319.00,174.00,569.58,0.00,191.03,86.59,159.05,407.50,647.81,2.79,0.00,0.92
Mon    04/Jan/16,Jan-16,2978.44,2436000.00,1.22,1.33,902.54,782.20,221.11,656.79,415.79,,1195.13,,332.00,195.63,146.07,381.43,140.00,317.00,332.00,231.00,637.65,0.00,212.67,99.79,175.00,381.43,656.79,6.37,0.00,0.92
Tue    05/Jan/16,Jan-16,3225.42,2651000.00,1.22,1.31,892.53,934.48,217.21,748.62,432.58,829000.00,1206.25,1.46,265.00,187.33,144.14,469.79,140.00,385.00,265.00,215.00,806.00,0.00,202.08,99.00,171.00,469.79,748.62,6.83,0.00,0.93
Wed    06/Jan/16,Jan-16,3152.96,2650000.00,1.19,1.28,949.37,883.24,223.59,658.79,437.98,1494000.00,1092.84,0.73,261.00,182.91,148.32,390.61,110.00,392.00,261.00,185.00,755.48,0.00,197.32,98.00,175.00,390.61,658.79,4.20,0.00,0.93
Thu    07/Jan/16,Jan-16,3367.42,2775000.00,1.21,1.30,1003.39,998.87,225.16,689.67,450.34,1606000.00,1233.86,0.77,380.00,202.19,152.53,389.13,110.00,440.00,380.00,201.00,856.56,0.00,217.39,93.00,165.45,389.13,689.67,5.63,0.00,0.93
Fri    08/Jan/16,Jan-16,3270.62,2735000.00,1.20,1.30,972.55,1001.09,209.64,665.38,421.96,1610000.00,1186.43,0.74,347.00,209.17,140.51,389.75,100.00,418.00,347.00,198.00,862.34,0.00,227.77,91.00,161.68,389.75,665.38,4.60,0.00,0.92
Sat    09/Jan/16,Jan-16,2989.94,2300000.00,1.30,1.42,892.99,864.21,224.14,645.37,363.23,1448000.00,1179.63,0.81,330.00,200.29,152.44,406.90,90.00,322.00,330.00,227.00,722.96,0.00,218.09,97.00,168.17,406.90,645.37,6.90,0.00,0.92
Sun    10/Jan/16,Jan-16,2809.05,2225000.00,1.26,1.37,838.54,806.21,232.53,603.57,328.20,1418000.00,1138.97,0.80,321.00,192.94,149.69,385.34,90.00,326.00,321.00,174.00,667.81,0.00,210.09,103.00,186.90,385.34,603.57,6.31,0.00,0.92
Mon    11/Jan/16,Jan-16,3458.32,2987000.00,1.16,1.27,995.81,969.70,362.85,678.33,451.63,1689000.00,1253.19,0.74,374.00,217.89,161.92,399.38,100.00,418.00,374.00,194.00,821.83,0.00,238.18,113.00,328.64,399.38,678.33,4.00,0.00,0.91
Tue    12/Jan/16,Jan-16,3161.59,2750000.00,1.15,1.25,989.99,927.28,201.69,628.41,414.22,1518000.00,1147.92,0.76,366.00,216.96,134.96,330.00,100.00,400.00,366.00,211.00,774.55,0.00,236.58,90.16,157.63,330.00,628.41,5.30,0.00,0.92
Wed    13/Jan/16,Jan-16,2788.09,2541000.00,1.10,1.19,858.78,823.21,186.00,587.93,332.17,1384000.00,1049.55,0.76,320.00,187.24,119.31,343.00,80.00,346.00,320.00,178.00,690.70,0.00,203.36,73.58,141.44,343.00,587.93,4.57,0.00,0.92
Thu    14/Jan/16,Jan-16,2902.22,2525000.00,1.15,1.25,927.90,861.20,193.69,555.45,363.98,1422000.00,1075.82,0.76,366.00,201.49,115.33,308.00,85.00,362.00,366.00,194.00,715.02,0.00,218.38,75.00,154.14,308.00,555.45,5.79,0.00,0.92
Fri    15/Jan/16,Jan-16,3103.42,2614000.00,1.19,1.29,922.56,948.11,185.60,622.52,424.63,1423000.00,1086.56,0.76,346.00,203.08,116.47,336.00,85.00,380.00,346.00,185.00,812.36,0.00,221.44,67.00,136.00,336.00,622.52,6.37,0.00,0.92
Sat    16/Jan/16,Jan-16,2725.41,2204000.00,1.24,1.35,908.41,860.57,156.06,488.21,312.15,1342000.00,1038.69,0.77,351.00,210.64,99.05,293.00,85.00,314.00,351.00,232.00,708.67,0.00,229.68,58.00,115.75,293.00,488.21,4.42,0.00,0.92
Sun    17/Jan/16,Jan-16,2701.42,2069000.00,1.31,1.43,816.48,791.30,241.17,543.99,308.47,1324000.00,1050.94,0.79,355.00,197.84,100.10,298.00,100.00,284.00,355.00,166.00,648.06,0.00,216.04,59.00,206.00,298.00,543.99,7.05,0.00,0.92
Mon    18/Jan/16,Jan-16,3162.11,2742000.00,1.15,1.26,951.71,978.09,213.41,616.76,402.14,1485000.00,1146.76,0.77,361.00,214.13,123.62,348.00,100.00,374.00,361.00,201.00,834.26,0.00,233.84,80.00,170.10,348.00,616.76,7.95,0.00,0.92
Tue    19/Jan/16,Jan-16,3021.42,2633000.00,1.15,1.25,923.51,894.00,192.83,558.24,452.84,1554000.00,1140.71,0.73,380.00,206.10,115.61,329.00,110.00,328.00,380.00,204.00,749.71,0.00,224.62,78.00,156.86,329.00,558.24,5.30,0.00,0.92
Wed    20/Jan/16,Jan-16,3370.71,2989000.00,1.13,1.23,1014.23,1067.32,194.93,609.07,485.16,1610000.00,1183.21,0.73,369.00,228.40,136.81,339.00,110.00,427.00,369.00,205.00,913.66,0.00,248.75,90.00,146.00,339.00,609.07,7.30,0.00,0.92
Thu    21/Jan/16,Jan-16,3225.98,2641000.00,1.22,1.33,997.62,934.51,152.00,736.41,405.44,1522000.00,1266.81,0.83,385.00,210.72,97.08,464.00,110.00,386.00,385.00,213.00,787.28,0.00,229.21,54.60,110.19,464.00,736.41,4.14,0.00,0.92
Fri    22/Jan/16,Jan-16,3089.88,2486000.00,1.24,1.35,890.75,975.03,150.30,701.09,372.72,1427000.00,1250.38,0.88,359.00,226.41,92.85,462.12,110.00,330.00,359.00,189.00,814.29,0.00,246.27,50.00,104.40,462.12,701.09,8.08,0.00,0.92
Sat    23/Jan/16,Jan-16,2895.37,2029000.00,1.43,1.55,876.93,877.08,152.52,694.95,293.88,1284000.00,1217.78,0.95,338.00,223.51,91.28,465.00,100.00,301.00,338.00,227.00,708.01,0.00,242.12,45.00,98.51,465.00,694.95,12.83,0.00,0.92
Sun    24/Jan/16,Jan-16,2582.23,1863000.00,1.39,1.50,771.82,795.98,145.03,609.25,260.15,1192000.00,1130.57,0.95,320.00,213.30,93.52,403.75,100.00,244.00,320.00,197.00,629.30,0.00,230.36,50.00,94.92,403.75,609.25,10.71,0.00,0.93
Mon    25/Jan/16,Jan-16,2973.43,2439000.00,1.22,1.32,849.36,1018.31,174.97,582.54,348.25,1364000.00,1100.75,0.81,328.00,232.90,101.85,328.00,110.00,335.00,328.00,175.00,848.24,0.00,251.53,56.00,126.33,328.00,582.54,8.64,0.00,0.93
Tue    26/Jan/16,Jan-16,3049.21,2434000.00,1.25,1.36,849.04,975.07,188.94,701.43,334.73,1306000.00,1174.47,0.90,321.00,227.84,106.30,419.33,100.00,341.00,321.00,176.00,808.42,0.00,246.50,53.00,133.49,419.33,701.43,8.92,0.00,0.92
Wed    27/Jan/16,Jan-16,3112.71,2514000.00,1.24,1.34,906.66,994.78,199.97,671.06,340.24,1340000.00,1244.07,0.93,347.00,251.70,112.37,423.00,110.00,347.00,347.00,199.00,805.97,0.00,273.01,52.88,136.80,423.00,671.06,11.10,0.00,0.92
Thu    28/Jan/16,Jan-16,3130.06,2480000.00,1.26,1.37,930.41,974.45,191.22,671.90,362.09,1349000.00,1221.27,0.91,384.00,228.70,119.57,379.00,110.00,354.00,384.00,184.00,810.77,0.00,248.64,65.00,131.64,379.00,671.90,11.25,0.00,0.92
Fri    29/Jan/16,Jan-16,3063.31,2355000.00,1.30,1.42,905.14,995.50,203.00,600.47,359.20,1309000.00,1152.21,0.88,378.00,224.07,119.15,321.00,110.00,335.00,378.00,180.00,841.72,0.00,244.48,65.00,143.73,321.00,600.47,12.76,0.00,0.92
Sat    30/Jan/16,Jan-16,2602.70,2008000.00,1.30,1.40,824.64,883.69,182.55,415.69,296.13,1236000.00,1105.30,0.89,340.00,215.22,119.08,321.00,110.00,260.00,340.00,170.00,724.16,0.00,233.15,61.00,106.33,321.00,415.69,23.43,0.00,0.92
